GRID,ID_VUELO,value,esteX,norteY,VIS_BEACH,VIS_WATER,KAYAKS,BOATS,SKY_COVER,WATER_TEMP,FECHA
200,V10C,0,795346.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
201,V10C,0,795406.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
202,V10C,0,795436.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
203,V10C,0,795466.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
204,V10C,0,795496.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
205,V10C,0,795526.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
206,V10C,0,795556.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
207,V10C,0,795586.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
208,V10C,0,795616.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
209,V10C,0,795646.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
210,V10C,0,795676.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
211,V10C,0,795706.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
212,V10C,0,795736.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
213,V10C,0,795766.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
214,V10C,0,795796.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
215,V10C,0,795826.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
216,V10C,0,795856.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
217,V10C,1,795886.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
218,V10C,0,795916.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
219,V10C,0,795946.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
220,V10C,0,795976.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
221,V10C,0,796006.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
222,V10C,0,796036.88330,9915515.57300,23,23,0,0,8,26,5/12/2021
224,V10C,0,795406.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
225,V10C,0,795436.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
226,V10C,0,795466.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
227,V10C,0,795496.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
228,V10C,0,795526.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
229,V10C,2,795556.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
230,V10C,0,795586.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
231,V10C,0,795616.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
232,V10C,0,795646.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
233,V10C,0,795676.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
234,V10C,0,795706.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
235,V10C,0,795736.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
236,V10C,0,795766.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
237,V10C,0,795796.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
238,V10C,0,795826.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
239,V10C,0,795856.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
240,V10C,0,795886.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
241,V10C,0,795916.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
242,V10C,0,795946.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
243,V10C,0,795976.88330,9915545.57300,23,23,0,0,8,26,5/12/2021
